State,District,Assessment Unit  Name,Assessment Unit Type,Recharge Worthy Area(Ha),Total Annual  Ground Water (Ham) Recharge,Annual Extractable Ground Water Resource  (Ham),Total   Ground Water Extraction  (Ham),Stage of Ground Water  Extraction (%),Categorization
ANDAMAN AND NICOBAR ISLANDS,N & M ANDAMAN,DIGLIPUR,BLOCK,25332,6879.37,6191.42,138.05,2.229698518,Safe
ANDAMAN AND NICOBAR ISLANDS,N & M ANDAMAN,MAYABUNDER,BLOCK,3179,978.53,880.68,0.03,0.003406459,Safe
ANDAMAN AND NICOBAR ISLANDS,N & M ANDAMAN,RANGAT,BLOCK,29529,8530.52,7677.46,200.88,2.61649035,Safe
ANDAMAN AND NICOBAR ISLANDS,NICOBAR,CAR NICOBAR,BLOCK,7001,2356.7,2121.03,43.47,2.049475962,Safe
ANDAMAN AND NICOBAR ISLANDS,NICOBAR,GREAT NICOBAR,BLOCK,97951,27502.95,24752.65,20.37,0.082294219,Safe
ANDAMAN AND NICOBAR ISLANDS,NICOBAR,NANCOWRY,BLOCK,17491,4804.71,4324.24,23.2,0.536510462,Safe
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMAN,FERRARGANJ,BLOCK,354,106.76,96.09,0.01,0.01040691,Safe
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMAN,LITTLE ANDAMAN,BLOCK,4790,2166.78,1950.11,45.91,2.354226172,Safe
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMAN,PORT BLAIR,BLOCK,26380,8516.6,7664.94,292.36,3.81425034,Safe
ANDHRA PRADESH,ALLURI SITHARAMA RAJU,ADDATEEGALA,MANDAL,36249.10125,3913.18,3717.48,73.68,1.981987798,safe
ANDHRA PRADESH,ALLURI SITHARAMA RAJU,ANANTHAGIRI,MANDAL,28408.44128,4896.64,4651.79,90.14,1.937748695,safe
ANDHRA PRADESH,ALLURI SITHARAMA RAJU,ARAKU VALLEY,MANDAL,13930.39679,4748.9,4511.48,79.82,1.769264188,safe
ANDHRA PRADESH,ALLURI SITHARAMA RAJU,CHINTAPALLE,MANDAL,19252.65588,4250.35,4037.91,115.06,2.849493921,safe
